ID,reactant1,count1,reactant2,count2,product,count3,conditions,extra
1,C,1,O2,1,CO2,1,None,None
2,C,2,O3,1,CO,2,None,None
3,C,3,CaO,1,Cac2,1,None,CO
4,C,1,F2,1,CF4,1,None,C2F6
5,C,2,H2O,3,CO,1,None,H2
6,NH4NO2,1,None,0,N2,1,Heat,H2O
7,NH4NO3,1,None,0,N2O,1,Heat,H2O
8,NO2,3,H2O,1,HNO3,2,None,NO
9,N2,1,HCl,6,NH3,2,Heat,Cl2
10,Mg,1,H2O,1,MgO,1,None,H2
11,Mg,1,H2O,2,Mg(OH)2,1,Excess water,H2
12,Mg,2,O2,1,MgO,2,None,None
13,Mg,1,H2,1,MgH2,1,None,None
14,Mg,3,N2,1,Mg3N2,1,None,None
15,Mg,1,Cl2,1,MgCl2,1,None,None
16,F2,3,H2O,2,HF,1,None,O2
17,F2,1,C,1,CF4,1,None,C2F6
18,F2,2,O2,1,OF2,2,None,None
19,Xe,1,F2,1,XeF2,1,None,None
20,F2,1,NaOH,2,NaF,2,None,O2
21,F2,4,HCl,1,HF,3,None,OF2
22,F2,1,HNO3,2,NO3F,2,None,H2
23,Al,2,H+,6,Al3+,2,None,H2
24,Al,2,Fe2O3,1,Al2O3,1,None,Fe
25,Al(OH)3,1,NaOH,6,Na3AlF6,1,None,6H2O
26,Al,2,H2O,3,Al2O3,1,None,None
27,Al(OH)3,1,OH-,1,[Al(OH)4]-,1,None,None
28,Cl,2,H2O,1,HOCl,1,None,HCl
29,Cl2,2,H2O,2,HCl,4,None,O2
30,Cl2,1,H2,1,HCl,1,None,None
31,Cl2,1,Fe,1,FeCl2,1,None,None
32,Si,1,O2,1,SiO2,1,None,None
33,Si,2,N2,1,SiN,2,None,None
34,Si,3,N2,2,Si3N4,1,None,None
35,Si,1,F2,2,SiF4,1,None,None
36,Si,1,Cl2,2,SiCl4,1,None,None
37,Si,1,Br2,2,SiBr4,1,None,None
38,Si,1,I2,2,SiI4,1,None,None
39,Na,2,O2,1,Na2O2,2,None,None
40,Na,1,O2,1,Na2O,2,None,None
41,Na,2,H2O,2,NaOH,2,None,H2
42,Na,2,F2,1,NaF,1,None,None
43,Na,2,Cl2,1,NaCl,1,None,None
44,Na,2,Br2,1,NaBr,1,None,None
45,Na,2,I2,1,NaI,1,None,None
46,K2CO3,1,C,2,CO,3,Heat,K
47,KCl,2,CaC2,1,CaCl2,1,Heat,C
48,KCl,1,Na,1,NaCl,1,Heat,K
